station,easting,northing
AME18_115,119.973832,-21.318425
AME18_115 geochemistry,119.973832,-21.318425
AME18_114 a b,119.973841,-21.318418
AME18_098,119.845303,-21.318333
AME18_099,119.845311,-21.318217
AME18_099 geochemistry,119.845311,-21.318217
AME18_016,119.925414,-21.318196
AME18_100,119.845421,-21.318185
AME18_279,119.819282,-21.315048
AME18_101 geochemistry,119.851732,-21.313534
AME18_071,119.895297,-21.313359
AME18_071 geochemistry,119.895297,-21.313359
AME18_017,119.925855,-21.31326
AME18_072a,119.897426,-21.31156
AME18_072b,119.897426,-21.31156
AME18_102,119.85249,-21.311223
AME18_103,119.855117,-21.309974
AME18_119 a b,120.000032,-21.309499
AME18_104,119.860047,-21.309411
AME18_073,119.902587,-21.308827
AME18_073 geochemistry,119.902587,-21.308827
AME18_121 a b,119.990674,-21.307389
AME18_018A,119.926536,-21.305311
AME18_026,120.23556,-21.304732
AME18_275,119.794611,-21.303679
AME18_027,120.236243,-21.303548
AME18_025,120.236269,-21.303528
AME18_120 a b,120.001689,-21.301475
AME18_278 a,119.805606,-21.300846
AME18_278 b,119.805606,-21.300846
AME18_276 a,119.785658,-21.300505
AME18_276 b,119.785658,-21.300505
AME18_277,119.769037,-21.300286
AME18_274,119.798328,-21.298183
AME18_273,119.79887,-21.29428
AME18_019,119.923521,-21.28033
AME18_196 a b,120.2191,-21.266941
AME18_166,119.994216,-21.266445
AME18_165 A b,119.992013,-21.266424
AME18_020A,119.911764,-21.259712
AME18_020b,119.911764,-21.259712
AME18_195 a b,120.200556,-21.259518
AME18_197 a b,120.225599,-21.256303
AME18_167 a b,120.000028,-21.25486
AME18_177 a b,119.845202,-21.244359
AME18_168 a b,120.01193,-21.244153
AME18_194 a b,120.17589,-21.238584
AME18_176 a b,119.848141,-21.235744
AME18_175 a b,119.850793,-21.226053
AME18_169 a b,120.011256,-21.223026
AME18_043,120.324045,-21.217753
AME18_043a,120.324045,-21.217753
AME18_174 a b,119.848638,-21.217716
AME18_193 a b,120.162222,-21.216786
AME18_042,120.26092,-21.211016
AME18_170 a b,120.020367,-21.210408
AME18_173 a b,119.853014,-21.206672
AME18_192,120.155682,-21.206665
AME18_191 a b,120.155093,-21.198587
AME18_171 A b,120.022058,-21.196944
AME18_172 a b,119.855764,-21.196932
AME18_125 a b,120.144265,-21.193835
AME18_126 a b,120.133914,-21.193431
AME18_127 a b,120.122014,-21.192815
AME18_129,120.093947,-21.192238
AME18_128 a b,120.093953,-21.192202
AME18_150 A b,120.146343,-21.19174
AME18_130 A b,120.065145,-21.190873
AME18_041,120.082324,-21.186527
AME18_151 a b,120.139949,-21.184634
AME18_131 a b,120.045316,-21.183569
AME18_132 a b,120.033719,-21.183378
AME18_133 geochemistry,120.033359,-21.183254
AME18_152 a b,120.128013,-21.177005
AME18_153 geochemistry,120.128502,-21.176596
AME18_190,119.761442,-21.173325
AME18_039,119.790342,-21.171595
AME18_040,119.899892,-21.171302
AME18_040a,119.899892,-21.171302
AME18_040b,119.899892,-21.171302
AME18_265 a b,119.947513,-21.1675
AME18_272 a b,120.013477,-21.166312
AME18_271 a b,120.008056,-21.165974
AME18_154 a b,120.128301,-21.16459
AME18_270 a b,120.004382,-21.163163
AME18_269 a b,120.00075,-21.161611
AME18_266 a b,119.950032,-21.157991
AME18_267 a b,119.950326,-21.154637
AME18_155 a b,120.119464,-21.150459
AME18_268 a b,119.950308,-21.146458
AME18_156 a b,120.120509,-21.141204
AME18_157 a b,120.1216,-21.137304
AME18_158 A b,120.11942,-21.132962
AME18_159 a b,120.10856,-21.131405
AME18_160 a b,120.100674,-21.127071
AME18_161 a b,120.087559,-21.125455
AME18_164 A b,120.115659,-21.120694
AME18_163 geochemistry,120.0762,-21.117571
AME18_162 a b,120.081712,-21.117278
AME18_184 A b,120.185149,-21.098961
AME18_183 a b,120.239528,-21.090193
AME18_185 a b,120.180887,-21.084454
AME18_182 a b,120.226613,-21.081399
AME18_149 a b,120.070073,-21.081384
AME18_181 a b,120.215284,-21.081175
AME18_186 a b,120.182292,-21.076202
AME18_148 a b,120.061133,-21.066276
AME18_180 a b,120.21598,-21.057332
AME18_147 a b,120.048139,-21.051692
AME18_187 A b,120.177105,-21.046599
AME18_179 a b,120.227314,-21.045585
AME18_146 a b,120.046897,-21.041119
AME18_178 A b,120.236498,-21.040871
AME18_124 geochemistry,119.938551,-21.038904
AME18_188 a b,120.178682,-21.028637
AME18_123,119.845718,-21.01833
AME18_145 a b,120.052909,-21.017434
AME18_144 a b,120.055039,-21.007512
AME18_122 geochemistry,119.819314,-21.004793
AME18_143 a b,120.083545,-20.991792
AME18_142,120.099138,-20.986921
AME18_142 geochemistry,120.099138,-20.986921
AME18_141,120.114345,-20.983618
AME18_141 geochemistry,120.114345,-20.983618
AME18_140 a b,120.132137,-20.975749
AME18_135 a b,120.129036,-20.955859
AME18_134 a b,120.142252,-20.952092
AME18_136 a b,120.105531,-20.945975
AME18_137 a b,120.095033,-20.941138
AME18_189 geochron,119.848112,-20.937903
AME18_034a,120.089437,-20.933069
AME18_034b,120.089437,-20.933069
AME18_034,119.724163,-20.896459
AME18_033,119.729904,-20.877116
AME18_033b,119.729904,-20.877116
AME18_032,119.729403,-20.87695
